artist,region,base,era,style,start_with,draft_lane,note
Superchunk,The Carolinas,Chapel Hill,Classic,Power pop,Foolish (1994),V10,
Archers of Loaf,The Carolinas,Chapel Hill,Classic,Slacker,Icky Mettle (1993),V10,
Whiskeytown,The Carolinas,Raleigh,Classic,Alt-country,Strangers Almanac (1997),V9,
Hiss Golden Messenger,The Carolinas,Durham,Classic,Cosmic country,Heart Like a Levee (2016),C6,
Wednesday,The Carolinas,Asheville,New,Crossover,"Rat Saw God (2023), Bleeds (2025)",C4,
MJ Lenderman,The Carolinas,Asheville,New,Crossover,Manning Fireworks (2024),C1,
Karly Hartzman,The Carolinas,Asheville,New,Alt-country,Good Luck (With Whatever) (2025),C2,
Colin Miller,The Carolinas,Asheville,New,Alt-country,Losin' (2025),C2,
i26connector,The Carolinas,Asheville,New,Crossover,i26connector (2026),C1,
Natalie Jane Hill,The Carolinas,Western NC (via Texas),New,Cosmic country,Hopeful Woman (2026),C5,
Fust,The Carolinas,Durham,New,Alt-country,Big Ugly (2025),C3,
Sluice,The Carolinas,Durham,New,Lo-fi,"Radial Grief (2023), Companion (2026)",C8,
Truth Club,The Carolinas,Raleigh,New,Slacker,Running From the Chase (2023),C7,
Uwade,The Carolinas,North Carolina,New,Indie folk,Florilegium (2025),C5,
Indigo De Souza,The Carolinas,Asheville,New,Crossover,Any Shape You Take (2021),X10,scene-not-sound → Context
The War on Drugs,Philadelphia,Philadelphia,Classic,Cosmic country,Lost in the Dream (2014),C6,
Kurt Vile,Philadelphia,Philadelphia,Classic,Slacker,Wakin on a Pretty Daze (2013),C7,
Alex G,Philadelphia,Philadelphia,Classic,Lo-fi,"God Save the Animals (2022), Headlights (2025)",C7,
Friendship,Philadelphia,Philadelphia (roots in Maine),New,Slowcore,"Love the Stranger (2022), Caveman Wakes Up (2025)",C8,
2nd Grade,Philadelphia,Philadelphia,New,Power pop,Hit to Hit (2020),C7,
Hurry,Philadelphia,Philadelphia,New,Power pop,Fake Ideas (2022),C7,
Golden Apples,Philadelphia,Philadelphia,New,Power pop,Shooting Star (2025),C7,
Star Moles,Philadelphia,Philadelphia (via New Hampshire),New,Indie folk,Highway To Hell (2026),C5,
John Prine,Chicago and the Midwest,Chicago,Classic,Country folk,John Prine (1971),V25,
The Replacements,Chicago and the Midwest,Minneapolis,Classic,Punk,Let It Be (1984),V16,
Hüsker Dü,Chicago and the Midwest,Minneapolis,Classic,Punk,New Day Rising (1985),V16,
Uncle Tupelo,Chicago and the Midwest,"Belleville, IL",Classic,Alt-country,Anodyne (1993),V9,
The Jayhawks,Chicago and the Midwest,Minneapolis,Classic,Alt-country,Hollywood Town Hall (1992),V9,
Low,Chicago and the Midwest,"Duluth, MN",Classic,Slowcore,I Could Live in Hope (1994),V12,
Guided by Voices,Chicago and the Midwest,"Dayton, OH",Classic,Lo-fi,Bee Thousand (1994),V11,
Son Volt,Chicago and the Midwest,St. Louis / Minneapolis,Classic,Alt-country,Trace (1995),V9,
Wilco / Jeff Tweedy,Chicago and the Midwest,Chicago,Classic,Crossover,"Being There (1996), Yankee Hotel Foxtrot (2002)",V9,
Smog / Bill Callahan,Chicago and the Midwest,Chicago (later Austin),Classic,Lo-fi,Red Apple Falls (1997),V2,
Songs: Ohia / Magnolia Electric Co.,Chicago and the Midwest,"Lorain, OH / Chicago",Classic,Crossover,"Didn't It Rain (2002), Magnolia Electric Co. (2003)",V1,
Neko Case,Chicago and the Midwest,Chicago (via Tacoma),Classic,Alt-country,Fox Confessor Brings the Flood (2006),V6,
Ratboys,Chicago and the Midwest,Chicago,New,Crossover,"The Window (2023), Singin' to an Empty Chair (2026)",C1,
National Photo Committee,Chicago and the Midwest,Chicago,New,Alt-country,Red Hot Photo Committee (2026),C3,
Tobacco City,Chicago and the Midwest,Chicago,New,Alt-country,Horses (2025),C3,
Cusp,Chicago and the Midwest,"Chicago (via Rochester, NY)",New,Crossover,What I Want Doesn't Want Me Back (2025),C9,
Red PK,Chicago and the Midwest,Chicago,New,Alt-country,Horse Like Me (2026),C3,
Horsegirl,Chicago and the Midwest,Chicago,New,Slacker,Phonetics On and On (2025),C7,
Friko,Chicago and the Midwest,Chicago,New,Crossover,"Where We've Been, Where We Go from Here (2024), Something Worth Waiting For (2026)",C9,
Joe Glass,Chicago and the Midwest,"Rockford, IL / Chicago",New,Power pop,Snakewards (2026),C7,
Hazel City,Chicago and the Midwest,Chicago,New,Indie folk,goblynmarkytt (2026),C5,
Sleeper's Bell,Chicago and the Midwest,Chicago,New,Indie folk,Clover (2025),C5,
Villagerrr,Chicago and the Midwest,"Columbus, OH",New,Crossover,Carousel (2026),C5,
