# No Expectations leads triaged to lane X5 — 32 albums. Format: artist | album | year | label | n_posts | URLs | note
Andy Shauf | Norm | 2023 |  | 1 | https://www.noexpectations.fyi/p/foxwarren-2-interview-andy-shauf-avery-kissick | More story-oriented, with a sampler-based track pointing toward Foxwarren 2.
Andy Shauf | The Bearer of Bad News | 2013 |  | 1 | https://www.noexpectations.fyi/p/foxwarren-2-interview-andy-shauf-avery-kissick | Epic immersive storytelling with a winsome tenor and meticulous arrangements.
Andy Shauf | The Neon Skyline | 2020 |  | 1 | https://www.noexpectations.fyi/p/foxwarren-2-interview-andy-shauf-avery-kissick | Character-driven autopsy of a relationship through a Toronto bar.
Andy Shauf | The Party | 2016 |  | 2 | https://www.noexpectations.fyi/p/katy-kirby-blue-raspberry-interview ; https://www.noexpectations.fyi/p/foxwarren-2-interview-andy-shauf-avery-kissick | Bought at Waterloo Records in Austin during college summers; Shauf is also a comparison point for her sound.
Andy Shauf | Wilds | 2021 |  | 1 | https://www.noexpectations.fyi/p/foxwarren-2-interview-andy-shauf-avery-kissick | Also-great but less story-oriented.
Aoife Nessa Frances | Protector | 2022 |  | 1 | https://www.noexpectations.fyi/p/great-albums-from-2022-i-missed-2 | Delicate folk in a psychedelic haze, languid and downtempo, with a seven-minute 'Only Child' dissolving into drone and Stereolab-ish synths.
Bruiser and Bicycle | Holy Red Wagon |  |  | 1 | https://www.noexpectations.fyi/p/jury-duty-steely-dan-book-review | Albany knotty indie rock for fans of the Dodos, Yeasayer and Sung Tongs-era Animal Collective minus dated quirks; nine songs over an hour.
Cameron Winter | Heavy Metal | 2024 |  | 4 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 ; https://www.noexpectations.fyi/p/the-best-albums-of-january-2025-so-far ; https://www.noexpectations.fyi/p/geese-getting-killed-jeff-tweedy-review | Geese frontman's ornate singer-songwriter LP with delicate strings and warm pianos and Leonard Cohen-like earnestness.
Cici Arthur | Way Through | 2025 |  | 3 | https://www.noexpectations.fyi/p/what-writing-100-newsletters-does-to-a-mf ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Calming, hypnotic chamber pop from Canadian jazz players with Owen Pallett orchestrations and Andy Shauf ties.
Clarissa Connelly | World of Work | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-music-denmark-felt-escho-konkylie | Spectral, near-medieval folk-pop built on empty space and Celtic myth.
Foxwarren | 2 | 2025 |  | 3 | https://www.noexpectations.fyi/p/foxwarren-2-interview-andy-shauf-avery-kissick ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Radical reinvention built on samples and glitchy, unmooring edits that stays seamless and infectious.
Foxwarren | Foxwarren | 2018 |  | 1 | https://www.noexpectations.fyi/p/foxwarren-2-interview-andy-shauf-avery-kissick | Loose, spacious and comfortable next to Shauf's solo work; one of his most-revisited LPs of the decade.
